Physician_ID,Cnt_Fraud_Engagement,Cnt_Fraud_Engagement_Rate
PHY331452,80,0.02
PHY333548,80,0.02
PHY396282,80,0.02
PHY325488,80,0.02
PHY316503,80,0.02
PHY398498,80,0.02
PHY362930,80,0.02
PHY344088,80,0.02
PHY325885,80,0.02
PHY341280,79,0.02
PHY370472,79,0.02
PHY408802,79,0.02
PHY351116,79,0.02
PHY363361,79,0.02
PHY413538,79,0.02
PHY380031,79,0.02
PHY338310,79,0.02
PHY328934,79,0.02
PHY412088,79,0.02
PHY371329,78,0.02
PHY325009,78,0.02
PHY428115,78,0.02
PHY383263,78,0.02
PHY335022,78,0.02
PHY406979,78,0.02
PHY370741,78,0.02
PHY385186,78,0.02
PHY315036,78,0.02
PHY400800,78,0.02
PHY383988,78,0.02
PHY325355,78,0.02
PHY388670,78,0.02
PHY376662,78,0.02
PHY414483,78,0.02
PHY351033,78,0.02
PHY342767,78,0.02
PHY348419,78,0.02
PHY406984,78,0.02
PHY349210,78,0.02
PHY321486,78,0.02
PHY379674,77,0.02
PHY343722,77,0.02
PHY353115,77,0.02
PHY397991,77,0.02
PHY322305,77,0.02
PHY318886,77,0.02
PHY318578,77,0.02
PHY388540,77,0.02
PHY311353,77,0.02
PHY430460,77,0.02
PHY421650,77,0.02
PHY357719,77,0.02
PHY423363,77,0.02
PHY329707,77,0.02
PHY327709,77,0.02
PHY433510,77,0.02
PHY367950,77,0.02
PHY323063,76,0.02
PHY417052,76,0.02
PHY430880,76,0.02
PHY323967,76,0.02
PHY423820,76,0.02
PHY333452,76,0.02
PHY428937,76,0.02
PHY384468,76,0.02
PHY382012,76,0.02
PHY328616,76,0.02
PHY323858,76,0.02
PHY419312,76,0.02
PHY375251,76,0.02
PHY317046,75,0.02
PHY423983,75,0.02
PHY417783,75,0.02
PHY413180,75,0.02
PHY425776,75,0.02
PHY380625,75,0.02
PHY410734,75,0.02
PHY411949,75,0.02
PHY364958,75,0.02
PHY367676,75,0.02
PHY381478,75,0.02
PHY347520,75,0.02
PHY323399,75,0.02
PHY332283,75,0.02
PHY389697,75,0.02
PHY416458,75,0.02
PHY425903,74,0.02
PHY361064,74,0.02
PHY375085,74,0.02
PHY416317,74,0.02
PHY316087,74,0.02
PHY427417,74,0.02
PHY345800,74,0.02
PHY383407,74,0.02
PHY400899,74,0.02
PHY337064,74,0.02
PHY428670,74,0.02
PHY379387,74,0.02
PHY368437,74,0.02
PHY345642,74,0.02
PHY417240,74,0.02
PHY418437,74,0.02
PHY356440,74,0.02
PHY390009,73,0.02
PHY319369,73,0.02
PHY402609,73,0.02
PHY396978,73,0.02
PHY351523,73,0.02
PHY400409,73,0.02
PHY389576,73,0.02
PHY342464,73,0.02
PHY387622,73,0.02
PHY337676,73,0.02
PHY427970,73,0.02
PHY371174,73,0.02
PHY316917,73,0.02
PHY348636,73,0.02
PHY412442,73,0.02
PHY366140,73,0.02
PHY372812,73,0.02
PHY394103,73,0.02
PHY344053,73,0.02
PHY332526,73,0.02
PHY355699,72,0.02
PHY383223,72,0.02
PHY422042,72,0.02
PHY349309,72,0.02
PHY361732,72,0.02
PHY356889,72,0.02
PHY339874,72,0.02
PHY344773,72,0.02
PHY316885,72,0.02
PHY344357,72,0.02
PHY312831,72,0.02
